starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:47:18 2025	1736434038	0	28	28	27
Thu Jan 09 15:47:20 2025	1736434040	0	31	32	31
Thu Jan 09 15:47:20 2025	1736434040	0	33	33	31
Thu Jan 09 15:47:18 2025	1736434038	1	33	33	31
Thu Jan 09 15:47:16 2025	1736434036	0	34	35	15
Thu Jan 09 15:47:24 2025	1736434044	0	35	35	33
Thu Jan 09 15:47:24 2025	1736434044	0	35	35	34
Thu Jan 09 15:47:18 2025	1736434038	0	36	36	34
Thu Jan 09 15:47:19 2025	1736434039	0	36	37	35
Thu Jan 09 15:47:20 2025	1736434040	0	37	38	37
Thu Jan 09 15:47:20 2025	1736434040	0	40	40	39
Thu Jan 09 15:47:18 2025	1736434038	0	41	41	40
Thu Jan 09 15:47:18 2025	1736434038	0	42	42	41
Thu Jan 09 15:47:18 2025	1736434038	0	43	44	43
Thu Jan 09 15:47:20 2025	1736434040	0	43	44	43
Thu Jan 09 15:47:19 2025	1736434039	0	45	45	43
Thu Jan 09 15:47:19 2025	1736434039	0	45	45	44
Thu Jan 09 15:47:20 2025	1736434040	0	45	46	44
Thu Jan 09 15:47:19 2025	1736434039	0	48	48	44
Thu Jan 09 15:47:18 2025	1736434038	0	49	49	40
Thu Jan 09 15:47:24 2025	1736434044	0	49	49	47
Thu Jan 09 15:47:18 2025	1736434038	0	49	49	48
Thu Jan 09 15:47:20 2025	1736434040	0	50	50	43
Thu Jan 09 15:47:18 2025	1736434038	0	50	50	49
Thu Jan 09 15:47:18 2025	1736434038	0	50	50	46
Thu Jan 09 15:47:24 2025	1736434044	0	51	51	47
Thu Jan 09 15:47:24 2025	1736434044	0	51	52	50
Thu Jan 09 15:47:18 2025	1736434038	0	52	52	49
Thu Jan 09 15:47:24 2025	1736434044	0	52	52	49
Thu Jan 09 15:47:18 2025	1736434038	0	52	52	52
Thu Jan 09 15:47:18 2025	1736434038	0	52	52	50
Thu Jan 09 15:47:19 2025	1736434039	0	53	53	44
Thu Jan 09 15:47:24 2025	1736434044	0	53	53	52
Thu Jan 09 15:47:18 2025	1736434038	0	53	53	49
Thu Jan 09 15:47:21 2025	1736434041	0	54	54	52
Thu Jan 09 15:47:20 2025	1736434040	0	54	54	52
Thu Jan 09 15:47:19 2025	1736434039	0	54	54	49
Thu Jan 09 15:47:18 2025	1736434038	0	54	54	48
Thu Jan 09 15:47:20 2025	1736434040	0	56	56	52
Thu Jan 09 15:47:20 2025	1736434040	0	57	57	56
Thu Jan 09 15:47:24 2025	1736434044	0	57	57	47
Thu Jan 09 15:47:24 2025	1736434044	0	58	59	45
Thu Jan 09 15:47:20 2025	1736434040	0	58	59	47
Thu Jan 09 15:47:20 2025	1736434040	0	58	59	58
Thu Jan 09 15:47:20 2025	1736434040	0	58	59	47
Thu Jan 09 15:47:24 2025	1736434044	1	58	59	42
Thu Jan 09 15:47:19 2025	1736434039	0	59	60	59
Thu Jan 09 15:47:18 2025	1736434038	0	61	61	59
Thu Jan 09 15:47:19 2025	1736434039	0	61	61	59
Thu Jan 09 15:47:18 2025	1736434038	1	61	61	49
Thu Jan 09 15:47:20 2025	1736434040	0	61	61	57
Thu Jan 09 15:47:23 2025	1736434043	0	61	61	56
Thu Jan 09 15:47:23 2025	1736434043	0	61	61	59
Thu Jan 09 15:47:20 2025	1736434040	0	61	62	59
Thu Jan 09 15:47:24 2025	1736434044	0	62	62	56
Thu Jan 09 15:47:22 2025	1736434042	2	61	63	61
Thu Jan 09 15:47:23 2025	1736434043	0	63	63	59
Thu Jan 09 15:47:24 2025	1736434044	0	63	63	57
Thu Jan 09 15:47:21 2025	1736434041	0	63	63	56
Thu Jan 09 15:47:24 2025	1736434044	0	63	64	61
Thu Jan 09 15:47:18 2025	1736434038	0	63	64	57
Thu Jan 09 15:47:22 2025	1736434042	0	64	65	59
Thu Jan 09 15:47:20 2025	1736434040	1	64	65	42
Thu Jan 09 15:47:18 2025	1736434038	0	65	65	64
Thu Jan 09 15:47:24 2025	1736434044	0	65	65	59
Thu Jan 09 15:47:18 2025	1736434038	0	65	65	57
Thu Jan 09 15:47:17 2025	1736434037	0	66	66	65
Thu Jan 09 15:47:18 2025	1736434038	0	66	66	65
Thu Jan 09 15:47:20 2025	1736434040	0	66	66	62
Thu Jan 09 15:47:18 2025	1736434038	0	66	66	60
Thu Jan 09 15:47:20 2025	1736434040	1	66	67	52
Thu Jan 09 15:47:22 2025	1736434042	0	66	67	60
Thu Jan 09 15:47:20 2025	1736434040	0	67	67	62
Thu Jan 09 15:47:24 2025	1736434044	0	67	68	66
Thu Jan 09 15:47:20 2025	1736434040	0	68	68	67
Thu Jan 09 15:47:17 2025	1736434037	0	68	68	67
Thu Jan 09 15:47:18 2025	1736434038	1	67	68	62
Thu Jan 09 15:47:18 2025	1736434038	0	69	69	63
Thu Jan 09 15:47:20 2025	1736434040	0	69	70	37
Thu Jan 09 15:47:19 2025	1736434039	0	70	70	55
Thu Jan 09 15:47:24 2025	1736434044	0	70	70	68
Thu Jan 09 15:47:19 2025	1736434039	0	70	70	57
Thu Jan 09 15:47:23 2025	1736434043	0	70	71	57
Thu Jan 09 15:47:20 2025	1736434040	0	71	71	41
Thu Jan 09 15:47:23 2025	1736434043	0	71	71	63
Thu Jan 09 15:47:20 2025	1736434040	0	71	71	60
Thu Jan 09 15:47:17 2025	1736434037	0	71	71	65
Thu Jan 09 15:47:18 2025	1736434038	0	71	71	64
Thu Jan 09 15:47:20 2025	1736434040	0	72	72	47
Thu Jan 09 15:47:18 2025	1736434038	0	72	72	66
Thu Jan 09 15:47:23 2025	1736434043	0	72	72	70
Thu Jan 09 15:47:20 2025	1736434040	0	73	73	71
Thu Jan 09 15:47:24 2025	1736434044	1	72	73	45
Thu Jan 09 15:47:23 2025	1736434043	0	73	73	68
Thu Jan 09 15:47:20 2025	1736434040	0	74	74	50
Thu Jan 09 15:47:18 2025	1736434038	1	74	75	69
Thu Jan 09 15:47:24 2025	1736434044	0	75	75	53
Thu Jan 09 15:47:19 2025	1736434039	0	75	75	64
Thu Jan 09 15:47:24 2025	1736434044	0	75	75	35
Thu Jan 09 15:47:18 2025	1736434038	1	75	76	73
Thu Jan 09 15:47:18 2025	1736434038	0	75	76	57
Thu Jan 09 15:47:18 2025	1736434038	0	76	76	65
Thu Jan 09 15:47:25 2025	1736434045	0	76	76	59
Thu Jan 09 15:47:21 2025	1736434041	0	76	77	49
Thu Jan 09 15:47:22 2025	1736434042	0	76	77	66
Thu Jan 09 15:47:18 2025	1736434038	1	76	77	69
Thu Jan 09 15:47:22 2025	1736434042	0	77	78	76
Thu Jan 09 15:47:16 2025	1736434036	8	71	79	69
Thu Jan 09 15:47:16 2025	1736434036	8	71	79	69
Thu Jan 09 15:47:23 2025	1736434043	0	79	79	63
Thu Jan 09 15:47:18 2025	1736434038	1	78	79	64
Thu Jan 09 15:47:18 2025	1736434038	0	79	80	79
Thu Jan 09 15:47:18 2025	1736434038	0	80	80	77
Thu Jan 09 15:47:18 2025	1736434038	0	80	80	73
Thu Jan 09 15:47:24 2025	1736434044	0	81	81	79
Thu Jan 09 15:47:19 2025	1736434039	0	81	81	59
Thu Jan 09 15:47:18 2025	1736434038	0	81	81	80
Thu Jan 09 15:47:20 2025	1736434040	0	81	81	80
Thu Jan 09 15:47:24 2025	1736434044	0	82	82	57
Thu Jan 09 15:47:24 2025	1736434044	0	82	82	66
Thu Jan 09 15:47:16 2025	1736434036	8	75	82	71
Thu Jan 09 15:47:18 2025	1736434038	0	83	83	80
Thu Jan 09 15:47:20 2025	1736434040	0	83	83	42
Thu Jan 09 15:47:19 2025	1736434039	0	83	83	61
Thu Jan 09 15:47:18 2025	1736434038	0	83	83	80
Thu Jan 09 15:47:18 2025	1736434038	0	83	84	72
Thu Jan 09 15:47:24 2025	1736434044	0	84	84	76
Thu Jan 09 15:47:24 2025	1736434044	0	84	84	38
Thu Jan 09 15:47:24 2025	1736434044	0	84	84	41
Thu Jan 09 15:47:19 2025	1736434039	0	84	84	50
Thu Jan 09 15:47:23 2025	1736434043	0	85	85	70
Thu Jan 09 15:47:19 2025	1736434039	0	85	85	70
Thu Jan 09 15:47:19 2025	1736434039	0	85	85	55
Thu Jan 09 15:47:23 2025	1736434043	1	85	85	67
Thu Jan 09 15:47:18 2025	1736434038	0	85	85	84
Thu Jan 09 15:47:18 2025	1736434038	0	85	85	59
Thu Jan 09 15:47:24 2025	1736434044	0	86	86	77
Thu Jan 09 15:47:20 2025	1736434040	0	86	86	66
Thu Jan 09 15:47:18 2025	1736434038	0	86	86	77
Thu Jan 09 15:47:18 2025	1736434038	0	86	87	86
Thu Jan 09 15:47:19 2025	1736434039	0	87	87	80
Thu Jan 09 15:47:16 2025	1736434036	8	79	87	72
Thu Jan 09 15:47:20 2025	1736434040	0	87	87	77
Thu Jan 09 15:47:24 2025	1736434044	0	87	87	86
Thu Jan 09 15:47:23 2025	1736434043	0	87	87	87
Thu Jan 09 15:47:18 2025	1736434038	0	87	88	76
Thu Jan 09 15:47:22 2025	1736434042	0	88	88	83
Thu Jan 09 15:47:20 2025	1736434040	0	88	88	82
Thu Jan 09 15:47:24 2025	1736434044	0	88	88	84
Thu Jan 09 15:47:16 2025	1736434036	8	80	88	78
Thu Jan 09 15:47:18 2025	1736434038	1	88	89	78
Thu Jan 09 15:47:24 2025	1736434044	0	88	89	67
Thu Jan 09 15:47:16 2025	1736434036	8	81	89	81
Thu Jan 09 15:47:18 2025	1736434038	0	89	89	86
Thu Jan 09 15:47:24 2025	1736434044	0	89	89	75
Thu Jan 09 15:47:19 2025	1736434039	0	89	89	73
Thu Jan 09 15:47:16 2025	1736434036	8	82	90	81
Thu Jan 09 15:47:18 2025	1736434038	0	89	90	88
Thu Jan 09 15:47:24 2025	1736434044	0	90	90	75
Thu Jan 09 15:47:19 2025	1736434039	0	90	90	80
Thu Jan 09 15:47:18 2025	1736434038	0	90	91	89
Thu Jan 09 15:47:24 2025	1736434044	0	91	91	89
Thu Jan 09 15:47:18 2025	1736434038	0	91	91	89
Thu Jan 09 15:47:18 2025	1736434038	0	91	91	90
Thu Jan 09 15:47:18 2025	1736434038	0	91	91	89
Thu Jan 09 15:47:24 2025	1736434044	0	91	91	87
Thu Jan 09 15:47:23 2025	1736434043	0	92	92	91
Thu Jan 09 15:47:18 2025	1736434038	0	92	92	87
Thu Jan 09 15:47:23 2025	1736434043	0	92	92	91
Thu Jan 09 15:47:20 2025	1736434040	0	93	94	75
Thu Jan 09 15:47:17 2025	1736434037	0	93	94	91
Thu Jan 09 15:47:18 2025	1736434038	1	93	94	90
Thu Jan 09 15:47:19 2025	1736434039	0	94	94	92
Thu Jan 09 15:47:24 2025	1736434044	0	94	94	79
Thu Jan 09 15:47:19 2025	1736434039	0	94	95	75
Thu Jan 09 15:47:18 2025	1736434038	0	95	95	85
Thu Jan 09 15:47:18 2025	1736434038	0	94	95	93
Thu Jan 09 15:47:18 2025	1736434038	0	95	95	94
Thu Jan 09 15:47:18 2025	1736434038	0	95	96	93
Thu Jan 09 15:47:18 2025	1736434038	0	95	96	94
Thu Jan 09 15:47:24 2025	1736434044	0	95	96	75
Thu Jan 09 15:47:22 2025	1736434042	0	95	96	82
Thu Jan 09 15:47:22 2025	1736434042	0	96	96	90
Thu Jan 09 15:47:23 2025	1736434043	1	96	97	87
Thu Jan 09 15:47:20 2025	1736434040	0	96	97	94
Thu Jan 09 15:47:24 2025	1736434044	0	97	97	58
Thu Jan 09 15:47:18 2025	1736434038	0	97	97	95
Thu Jan 09 15:47:22 2025	1736434042	2	95	97	91
Thu Jan 09 15:47:19 2025	1736434039	0	97	97	75
Thu Jan 09 15:47:19 2025	1736434039	0	97	97	69
Thu Jan 09 15:47:18 2025	1736434038	0	97	97	81
Thu Jan 09 15:47:24 2025	1736434044	0	97	97	86
Thu Jan 09 15:47:18 2025	1736434038	0	97	98	93
Thu Jan 09 15:47:18 2025	1736434038	0	98	98	95
Thu Jan 09 15:47:19 2025	1736434039	0	98	98	77
Thu Jan 09 15:47:21 2025	1736434041	0	98	98	88
Thu Jan 09 15:47:24 2025	1736434044	0	98	98	95
Thu Jan 09 15:47:24 2025	1736434044	0	98	98	58
Thu Jan 09 15:47:24 2025	1736434044	0	98	99	85
Thu Jan 09 15:47:17 2025	1736434037	0	99	99	95
Thu Jan 09 15:47:22 2025	1736434042	0	99	100	71
Thu Jan 09 15:47:17 2025	1736434037	0	100	100	31
Thu Jan 09 15:47:18 2025	1736434038	0	100	100	83
Thu Jan 09 15:47:19 2025	1736434039	0	100	100	85
Thu Jan 09 15:47:18 2025	1736434038	4	96	100	89
Thu Jan 09 15:47:18 2025	1736434038	0	100	100	69
Thu Jan 09 15:47:18 2025	1736434038	0	101	101	98
Thu Jan 09 15:47:24 2025	1736434044	0	101	101	100
Thu Jan 09 15:47:18 2025	1736434038	0	101	101	89
Thu Jan 09 15:47:17 2025	1736434037	0	101	101	97
Thu Jan 09 15:47:18 2025	1736434038	2	100	103	95
Thu Jan 09 15:47:24 2025	1736434044	0	103	103	86
Thu Jan 09 15:47:17 2025	1736434037	0	103	103	102
Thu Jan 09 15:47:20 2025	1736434040	0	103	104	90
Thu Jan 09 15:47:18 2025	1736434038	0	103	104	101
Thu Jan 09 15:47:21 2025	1736434041	0	104	104	73
Thu Jan 09 15:47:22 2025	1736434042	0	104	104	93
Thu Jan 09 15:47:24 2025	1736434044	0	104	104	103
Thu Jan 09 15:47:18 2025	1736434038	0	104	105	104
Thu Jan 09 15:47:24 2025	1736434044	0	105	105	95
Thu Jan 09 15:47:20 2025	1736434040	0	106	106	74
Thu Jan 09 15:47:21 2025	1736434041	1	105	106	104
Thu Jan 09 15:47:20 2025	1736434040	0	106	106	105
Thu Jan 09 15:47:17 2025	1736434037	1	105	106	92
Thu Jan 09 15:47:19 2025	1736434039	0	106	107	104
Thu Jan 09 15:47:18 2025	1736434038	0	107	107	105
Thu Jan 09 15:47:20 2025	1736434040	1	107	107	106
Thu Jan 09 15:47:18 2025	1736434038	0	107	107	102
Thu Jan 09 15:47:18 2025	1736434038	0	108	108	99
Thu Jan 09 15:47:22 2025	1736434042	0	109	109	108
Thu Jan 09 15:47:18 2025	1736434038	0	109	109	74
Thu Jan 09 15:47:19 2025	1736434039	0	109	109	57
Thu Jan 09 15:47:23 2025	1736434043	0	109	110	108
Thu Jan 09 15:47:21 2025	1736434041	0	110	110	59
Thu Jan 09 15:47:21 2025	1736434041	0	110	110	99
Thu Jan 09 15:47:21 2025	1736434041	0	111	111	95
Thu Jan 09 15:47:18 2025	1736434038	0	112	112	95
Thu Jan 09 15:47:18 2025	1736434038	0	112	112	109
Thu Jan 09 15:47:22 2025	1736434042	0	112	113	112
Thu Jan 09 15:47:21 2025	1736434041	0	113	113	84
Thu Jan 09 15:47:24 2025	1736434044	0	114	114	110
Thu Jan 09 15:47:22 2025	1736434042	0	114	114	104
Thu Jan 09 15:47:21 2025	1736434041	0	114	114	95
Thu Jan 09 15:47:18 2025	1736434038	1	114	114	113
Thu Jan 09 15:47:24 2025	1736434044	0	115	115	107
Thu Jan 09 15:47:23 2025	1736434043	0	115	115	114
Thu Jan 09 15:47:21 2025	1736434041	0	116	116	99
Thu Jan 09 15:47:24 2025	1736434044	0	116	116	99
Thu Jan 09 15:47:19 2025	1736434039	0	116	116	104
Thu Jan 09 15:47:24 2025	1736434044	0	116	116	114
Thu Jan 09 15:47:22 2025	1736434042	0	116	116	110
Thu Jan 09 15:47:19 2025	1736434039	0	116	116	47
Thu Jan 09 15:47:24 2025	1736434044	0	117	117	75
Thu Jan 09 15:47:19 2025	1736434039	0	117	117	68
Thu Jan 09 15:47:25 2025	1736434045	0	118	118	112
Thu Jan 09 15:47:25 2025	1736434045	1	117	118	105
Thu Jan 09 15:47:18 2025	1736434038	0	118	118	109
Thu Jan 09 15:47:21 2025	1736434041	0	118	118	108
Thu Jan 09 15:47:24 2025	1736434044	0	118	119	83
Thu Jan 09 15:47:22 2025	1736434042	0	119	119	71
Thu Jan 09 15:47:24 2025	1736434044	0	119	119	100
Thu Jan 09 15:47:21 2025	1736434041	0	119	120	118
Thu Jan 09 15:47:25 2025	1736434045	0	120	120	118
Thu Jan 09 15:47:21 2025	1736434041	0	120	120	112
Thu Jan 09 15:47:18 2025	1736434038	0	120	120	88
Thu Jan 09 15:47:18 2025	1736434038	0	120	121	93
Thu Jan 09 15:47:24 2025	1736434044	0	121	121	94
Thu Jan 09 15:47:21 2025	1736434041	0	121	121	116
