starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:45:10 2025	1736433910	0	30	30	28
Thu Jan 09 15:45:14 2025	1736433914	0	33	33	31
Thu Jan 09 15:45:05 2025	1736433905	0	33	33	31
Thu Jan 09 15:45:13 2025	1736433913	0	33	34	32
Thu Jan 09 15:45:05 2025	1736433905	0	36	36	34
Thu Jan 09 15:45:13 2025	1736433913	0	36	36	33
Thu Jan 09 15:45:11 2025	1736433911	0	36	36	34
Thu Jan 09 15:45:05 2025	1736433905	0	36	37	29
Thu Jan 09 15:45:05 2025	1736433905	0	37	37	36
Thu Jan 09 15:45:13 2025	1736433913	0	37	37	35
Thu Jan 09 15:45:13 2025	1736433913	0	37	37	34
Thu Jan 09 15:45:14 2025	1736433914	0	37	37	35
Thu Jan 09 15:45:06 2025	1736433906	0	37	37	35
Thu Jan 09 15:45:12 2025	1736433912	0	37	37	35
Thu Jan 09 15:45:06 2025	1736433906	0	37	37	35
Thu Jan 09 15:45:05 2025	1736433905	0	38	38	37
Thu Jan 09 15:45:12 2025	1736433912	0	39	39	35
Thu Jan 09 15:45:13 2025	1736433913	0	39	39	33
Thu Jan 09 15:45:13 2025	1736433913	0	39	40	33
Thu Jan 09 15:45:06 2025	1736433906	0	39	40	38
Thu Jan 09 15:45:11 2025	1736433911	0	40	41	39
Thu Jan 09 15:45:06 2025	1736433906	0	41	41	33
Thu Jan 09 15:45:13 2025	1736433913	0	41	41	39
Thu Jan 09 15:45:14 2025	1736433914	0	41	41	35
Thu Jan 09 15:45:14 2025	1736433914	1	41	41	39
Thu Jan 09 15:45:12 2025	1736433912	0	42	42	41
Thu Jan 09 15:45:13 2025	1736433913	0	42	42	39
Thu Jan 09 15:45:05 2025	1736433905	0	42	42	34
Thu Jan 09 15:45:11 2025	1736433911	0	42	42	41
Thu Jan 09 15:45:12 2025	1736433912	1	42	42	36
Thu Jan 09 15:45:06 2025	1736433906	0	42	42	28
Thu Jan 09 15:45:05 2025	1736433905	0	42	42	40
Thu Jan 09 15:45:11 2025	1736433911	0	43	43	38
Thu Jan 09 15:45:11 2025	1736433911	0	43	43	41
Thu Jan 09 15:45:13 2025	1736433913	0	44	44	43
Thu Jan 09 15:45:08 2025	1736433908	0	45	45	44
Thu Jan 09 15:45:14 2025	1736433914	0	45	46	43
Thu Jan 09 15:45:12 2025	1736433912	0	46	46	45
Thu Jan 09 15:45:14 2025	1736433914	0	46	46	35
Thu Jan 09 15:45:13 2025	1736433913	0	47	47	45
Thu Jan 09 15:45:12 2025	1736433912	0	47	47	43
Thu Jan 09 15:45:05 2025	1736433905	0	47	47	35
Thu Jan 09 15:45:13 2025	1736433913	0	48	48	34
Thu Jan 09 15:45:06 2025	1736433906	0	48	49	47
Thu Jan 09 15:45:06 2025	1736433906	0	49	49	46
Thu Jan 09 15:45:06 2025	1736433906	0	49	50	48
Thu Jan 09 15:45:12 2025	1736433912	0	49	50	48
Thu Jan 09 15:45:13 2025	1736433913	0	50	50	49
Thu Jan 09 15:45:10 2025	1736433910	0	50	51	50
Thu Jan 09 15:45:05 2025	1736433905	0	50	51	45
Thu Jan 09 15:45:14 2025	1736433914	0	50	51	38
Thu Jan 09 15:45:13 2025	1736433913	1	51	51	49
Thu Jan 09 15:45:06 2025	1736433906	0	51	51	50
Thu Jan 09 15:45:12 2025	1736433912	0	51	52	49
Thu Jan 09 15:45:12 2025	1736433912	0	52	52	51
Thu Jan 09 15:45:12 2025	1736433912	0	53	53	35
Thu Jan 09 15:45:05 2025	1736433905	0	53	53	52
Thu Jan 09 15:45:12 2025	1736433912	0	53	53	40
Thu Jan 09 15:45:12 2025	1736433912	0	53	53	52
Thu Jan 09 15:45:13 2025	1736433913	0	54	54	49
Thu Jan 09 15:45:14 2025	1736433914	0	55	55	45
Thu Jan 09 15:45:12 2025	1736433912	0	55	55	36
Thu Jan 09 15:45:11 2025	1736433911	0	56	56	55
Thu Jan 09 15:45:05 2025	1736433905	0	56	56	52
Thu Jan 09 15:45:06 2025	1736433906	0	56	56	55
Thu Jan 09 15:45:14 2025	1736433914	0	56	56	47
Thu Jan 09 15:45:10 2025	1736433910	0	57	57	56
Thu Jan 09 15:45:13 2025	1736433913	0	57	57	53
Thu Jan 09 15:45:05 2025	1736433905	0	57	57	47
Thu Jan 09 15:45:05 2025	1736433905	0	57	57	42
Thu Jan 09 15:45:12 2025	1736433912	0	58	58	48
Thu Jan 09 15:45:06 2025	1736433906	0	58	58	46
Thu Jan 09 15:45:06 2025	1736433906	0	58	58	53
Thu Jan 09 15:45:11 2025	1736433911	0	58	58	57
Thu Jan 09 15:45:14 2025	1736433914	0	58	59	43
Thu Jan 09 15:45:11 2025	1736433911	0	58	59	57
Thu Jan 09 15:45:06 2025	1736433906	0	59	60	46
Thu Jan 09 15:45:05 2025	1736433905	0	60	60	48
Thu Jan 09 15:45:09 2025	1736433909	0	60	61	60
Thu Jan 09 15:45:12 2025	1736433912	0	61	61	60
Thu Jan 09 15:45:12 2025	1736433912	0	62	62	60
Thu Jan 09 15:45:05 2025	1736433905	0	62	62	61
Thu Jan 09 15:45:13 2025	1736433913	0	62	62	60
Thu Jan 09 15:45:12 2025	1736433912	0	62	62	55
Thu Jan 09 15:45:06 2025	1736433906	0	62	62	61
